codigo,sigla,nome
6662358,UBS 2 BRA,UBS 2 BRAZLANDIA
0011517,UBS 2 FER,UBS 2 CATINGUEIRO FERCAL
0010987,UBS 2 CEI,UBS 2 CEILANDIA
0010758,UBS 2 CRU,UBS 2 CRUZEIRO CSB14
0010839,UBS 2 GAM,UBS 2 GAMA
3286959,UBS 2 ITA,UBS 2 ITAPOA
0010650,UBS 2 PLA,UBS 2 PLANALTINA
3286975,UBS 2 PAR,UBS 2 QUADRA 18 PARANOA
0010669,UBS 2 SMA,UBS 2 SANTA MARIA
0011231,UBS 2 SOB,UBS 2 SOBRADINHO
7368895,UBS 2 SB2,UBS 2 SOBRADINHO II
3254887,UBS 2 SSB,UBS 2 T R E SAO SEBASTIAO
9768637,UBS 20 PLA,UBS 20 PLANALTINA
0207225,UBS 20 SSB,UBS 20 SAO SEBASTIAO CDP
0011355,UBS 3 AN,UBS 3 ASA NORTE VILA PLANALTO
0010995,UBS 3 CEI,UBS 3 CEILANDIA
0010847,UBS 3 GAM,UBS 3 GAMA
9572481,UBS 3 ITA,UBS 3 ITAPOA
0161616,UBS 3 FER,UBS 3 LOBEIRAL FERCAL
0011568,UBS 3 SOB,UBS 3 NOVA COLINA SOBRADINHO
9572511,UBS 3 PPQ,UBS 3 PARANOA PARQUE
0011096,UBS 3 PLA,UBS 3 PLANALTINA
3212068,UBS 3 SSB,UBS 3 RESIDENCIAL OESTE SAO SEBASTIAO
3144550,UBS 3 SMA,UBS 3 SANTA MARIA
6770681,UBS 3 SB2,UBS 3 VALE DOS PINHEIROS SOBRADINHO II
3144658,UBS 3 BRA,UBS 3 VEREDAS I BRAZLANDIA
0011002,UBS 4 CEI,UBS 4 CEILANDIA
0010855,UBS 4 GAM,UBS 4 GAMA
0011606,UBS 4 PAR,UBS 4 JARDIM II PARANOA
3212033,UBS 4 SSB,UBS 4 MORRO AZUL SAO SEBASTIAO
6216013,UBS 4 PLA,UBS 4 PLANALTINA
7687079,UBS 4 SOB,UBS 4 ROTA DO CAVALO SOBRADINHO
7493576,UBS 4 SMA,UBS 4 SANTA MARIA
6770665,UBS 4 SB2,UBS 4 SETOR DE MANSOES SOBRADINHO II
3742865,UBS 4 BRA,UBS 4 VEREDAS II BRAZLANDIA
6770657,UBS 5 SOB,UBS 5 BASEVI SOBRADINHO
0011614,UBS 5 PAR,UBS 5 CAPAO SECO PARANOA
0011010,UBS 5 CEI,UBS 5 CEILANDIA
3144631,UBS 5 BRA,UBS 5 CHAPADINHA BRAZLANDIA
0010863,UBS 5 GAM,UBS 5 GAMA
0011363,UBS 5 SSB,UBS 5 NOVA BETANIA SAO SEBASTIAO
6216021,UBS 5 PLA,UBS 5 PLANALTINA
3144593,UBS 5 SMA,UBS 5 SANTA MARIA
7686730,UBS 5 SB2,UBS 5 SETOR DE MANSOES SOBRADINHO II
0011495,UBS 6 BRA,UBS 6 ALMECEGAS BRAZLANDIA
5050340,UBS 6 PLA,UBS 6 ARAPOANGA PLANALTINA
2804107,UBS 6 PAR,UBS 6 CARIRU PARANOA
0011029,UBS 6 CEI,UBS 6 CEILANDIA
0010871,UBS 6 GAM,UBS 6 GAMA
2804387,UBS 6 SOB,UBS 6 LAGO OESTE SOBRADINHO
3144607,UBS 6 SMA,UBS 6 SANTA MARIA
3212017,UBS 6 SSB,UBS 6 SAO FRANCISCO SAO SEBASTIAO
7041594,UBS 6 SB2,UBS 6 VALE DAS ACACIAS SOBRADINHO II
0957755,UBS 7 SB2,UBS 7 BURITIZINHO SOBRADINHO II
7075596,UBS 7 PAR,UBS 7 CAFE SEM TROCO PARANOA
0011037,UBS 7 CEI,UBS 7 CEILANDIA
0010898,UBS 7 GAM,UBS 7 GAMA
0011509,UBS 7 BRA,UBS 7 INCRA 08 BRAZLANDIA
2360233,UBS 7 PLA,UBS 7 JARDIM RORIZ PLANALTINA
3781402,UBS 7 SSB,UBS 7 MORRO DA CRUZ SAO SEBASTIAO
3144569,UBS 7 SMA,UBS 7 SANTA MARIA
7975295,UBS 8 SSB,UBS 8 CAVAS DE BAIXO SAO SEBASTIAO
0011045,UBS 8 CEI,UBS 8 CEILANDIA
0011630,UBS 8 PAR,UBS 8 PADDF PARANOA
7559194,UBS 8 SMA,UBS 8 SANTA MARIA
9571280,UBS 8 BRA,UBS 8 TORRE DE BRAZLANDIA
5050359,UBS 8 PLA,UBS 8 VALE DO AMANHECER PLANALTINA
0011053,UBS 9 CEI,UBS 9 CEILANDIA
2779404,UBS 9 GAM,UBS 9 ENGENHO DAS LAGES GAMA
3742873,UBS 9 SSB,UBS 9 RESIDENCIAL DO BOSQUE 1 SAO SEBASTIAO
7740581,UBS 9 SMA,UBS 9 SANTA MARIA
2672235,UBS 9 PLA,UBS 9 SANTOS DUMONT PLANALTINA
9548203,UBS 9 BRA,UBS 9 ZONA RURAL DE BRAZLANDIA
3012093,UBSF I,UBSF SHOPPING PARK I
5090881,UBSF II,UBSF TAIAMAN II
4517393,UBS PED IX,UNIDADE BASICA DE SAUDE PED IX I
7686455,UBS VPI,UNIDADE BASICA DE SAUDE UBS GUARA VICENTE PIRES
3864359,UB JARDIM INGA,UNIDADE BASICA DO JARDIM INGA
2840499,UPA BRA,UNIDADE DE PRONTO ATENDIMENTO UPA BRAZLANDIA
0939145,UPA GAM,UNIDADE DE PRONTO ATENDIMENTO UPA GAMA
0924857,UPA II CEI,UNIDADE DE PRONTO ATENDIMENTO UPA II CEILANDIA
0935514,UPA PAR,UNIDADE DE PRONTO ATENDIMENTO UPA PARANOA
0969877,UPA PLA,UNIDADE DE PRONTO ATENDIMENTO UPA PLANALTINA
0945595,UPA RFU,UNIDADE DE PRONTO ATENDIMENTO UPA RIACHO FUNDO
0996068,UPA VPI,UNIDADE DE PRONTO ATENDIMENTO UPA VICENTE PIRES
7465157,UPA CEI,UPA CEILANDIA
7111924,UPA NBA,UPA NUCLEO BANDEIRANTE
7078730,UPA RDE,UPA RECANTO DAS EMAS
6708714,UPA SAM,UPA SAMAMBAIA
7592477,UPA SOB,UPA SOBRADINHO
7116756,UPA SSB,UPA UNIDADE DE PRONTO ATENDIMENTO DE SAO SEBASTIAO
7980221,VISAO,VISAO HOSPITAL DE OLHOS
3548104,VISTA,VISTA HOSPITAL DA CATARATA DE BRASILIA
